Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,116.599998,116.769997,116.300003,116.410004,116.410004,8469500
12/4/2018,117.370003,117.389999,116.93,117.120003,117.120003,7186100
12/6/2018,117.379997,117.690002,116.919998,117.139999,117.139999,9267600
12/7/2018,117.620003,118.230003,117.540001,118.089996,118.089996,10402900
12/10/2018,117.699997,117.940002,117.419998,117.68,117.68,8117900
12/11/2018,117.669998,117.889999,117.349998,117.540001,117.540001,6395400
12/12/2018,117.699997,117.949997,117.610001,117.790001,117.790001,4136800
12/13/2018,117.540001,117.620003,117.260002,117.529999,117.529999,4131800
12/14/2018,116.629997,117.300003,116.580002,117.059998,117.059998,7501700
12/17/2018,117.370003,118.029999,117.349998,117.870003,117.870003,8454900
12/18/2018,117.849998,118.199997,117.809998,118.150002,118.150002,7542900
12/19/2018,118.239998,118.959999,117.400002,117.43,117.43,13827500
12/20/2018,119.110001,119.739998,118.68,119.239998,119.239998,18615100
12/21/2018,119.190002,119.25,118.57,118.720001,118.720001,13629800
12/24/2018,119.57,120.139999,119.57,120.019997,120.019997,9736400
12/26/2018,120.620003,121,119.57,119.660004,119.660004,14293500
12/27/2018,120.57,120.900002,120.139999,120.57,120.57,11874400
12/28/2018,120.800003,121.080002,120.720001,121.059998,121.059998,6864700
12/31/2018,120.980003,121.260002,120.830002,121.25,121.25,8449400
1/2/2019,121.349998,121.75,120.879997,121.330002,121.330002,12776200
1/3/2019,121.779999,122.459999,121.730003,122.43,122.43,15440800
1/4/2019,121.32,121.599998,120.690002,121.440002,121.440002,13334000
1/7/2019,122.160004,122.220001,121.57,121.860001,121.860001,7473600
1/8/2019,121.150002,121.709999,121.059998,121.529999,121.529999,7643100
1/9/2019,121.449997,122.339996,121.440002,122.309998,122.309998,10555900
1/10/2019,121.980003,122.18,121.57,121.589996,121.589996,6672000
1/11/2019,121.739998,122.050003,121.660004,121.800003,121.800003,8622400
1/14/2019,122.150002,122.239998,121.870003,122.089996,122.089996,6477100
1/15/2019,122.279999,122.379997,121.620003,121.879997,121.879997,7512500
